Group,Site,Colony ID,Li,B,Mg,Al,P,Ca,V,Cr,Fe,Co,Ni,Cu,Zn,Rb,Sr,Ag,Cd,Ba,Nd,Pb,U
SARI ,SARI 3,SARI 3-8,1.18669E-06,0.000145928,0.002672619,1.64549E-05,9.68793E-05,1,8.25206E-08,7.46404E-08,1.26441E-05,3.48012E-07,1.4301E-06,1.44355E-06,1.92105E-05,1.77203E-08,0.020097514,1.84337E-08,2.21303E-07,6.28981E-05,1.02683E-08,1.44673E-07,8.17556E-06
SARI ,SARI 3,SARI 3-9,1.10974E-06,0.000149193,0.002560649,2.01893E-05,0.000126354,1,1.03666E-07,3.39692E-08,1.20202E-05,3.69822E-07,1.19303E-06,1.11824E-06,1.66728E-05,1.88864E-08,0.020049024,1.02144E-08,1.24498E-07,5.52915E-05,2.54458E-08,1.41695E-07,1.21463E-05
SARI ,SARI 3,SARI 3-10,1.24353E-06,0.000120259,0.004038488,2.25833E-05,8.62417E-05,1,9.30137E-08,0,1.76174E-05,3.70221E-07,1.21502E-06,8.38423E-07,7.04726E-06,1.88202E-08,0.019162429,2.01329E-08,1.63758E-07,5.16522E-05,2.39245E-08,1.31727E-07,7.74396E-06
BUIS,BUIS 1,BUIS 1-1,9.32103E-07,0.000148915,0.003010785,1.44829E-05,0.000111439,1,8.88487E-08,3.46969E-08,6.44454E-06,3.34432E-07,9.86353E-07,8.12926E-07,1.24407E-05,2.01152E-08,0.019964861,1.83133E-08,1.67003E-07,5.20621E-05,1.97283E-08,9.04064E-08,4.22327E-06
BUIS,BUIS 1,BUIS 1-2,9.4707E-07,0.000147186,0.003395646,2.41268E-05,0.00019507,1,8.71705E-08,8.15878E-08,1.44938E-05,3.38701E-07,1.16777E-06,1.02614E-06,1.17193E-05,1.50608E-08,0.019618588,1.37795E-08,4.31203E-07,0.000107121,1.97116E-08,7.60213E-08,4.68633E-06
BUIS,BUIS 1,BUIS 1-3,9.09132E-07,0.000141063,0.002802474,2.05341E-05,0.000200916,1,9.30752E-08,4.71533E-09,1.10558E-05,3.33088E-07,1.09061E-06,8.389E-07,1.45288E-05,1.83452E-08,0.019310894,1.24431E-08,5.07155E-07,0.000117542,2.8284E-08,8.26609E-08,4.31924E-06
BUIS,BUIS 1,BUIS 1-4,8.61762E-07,0.000145691,0.002322941,8.74939E-06,6.93576E-05,1,8.78638E-08,0,3.38092E-06,3.28627E-07,9.59979E-07,7.12555E-07,1.40914E-05,1.4364E-08,0.019618001,1.44051E-08,1.30854E-07,3.57224E-05,1.57535E-08,5.34114E-08,4.72303E-06
BUIS,BUIS 1,BUIS 1-5,9.39117E-07,0.000152453,0.003328857,2.28067E-05,0.000166256,1,9.46591E-08,0,7.6148E-06,3.30171E-07,1.00739E-06,9.08134E-07,5.70651E-06,1.17367E-08,0.019330023,1.35361E-08,2.6412E-07,0.000106277,1.97643E-08,7.83544E-08,3.65685E-06
BUIS,BUIS 1,BUIS 1-6,1.15283E-06,0.000151916,0.003838905,1.97948E-05,0.000160313,1,7.48894E-08,5.53004E-08,8.90695E-06,4.54896E-07,1.4706E-06,1.15333E-06,2.78099E-06,2.48177E-08,0.020808523,6.53864E-09,3.05689E-07,0.000162564,2.74073E-08,8.03643E-08,5.20296E-06
BUIS,BUIS 1,BUIS 1-7,1.05793E-06,0.00016798,0.003113983,2.03725E-05,0.000131991,1,1.03485E-07,1.91211E-08,6.161E-06,3.63379E-07,1.53428E-06,1.04221E-06,3.95596E-06,2.04558E-08,0.021256195,2.05836E-08,2.53842E-07,9.60554E-05,3.04889E-08,1.08228E-07,5.49773E-06
BUIS,BUIS 1,BUIS 1-8,1.03668E-06,0.000170083,0.003048819,2.51202E-05,0.000126818,1,9.85655E-08,1.98431E-08,1.21996E-05,4.11672E-07,1.46435E-06,1.12895E-06,2.04035E-06,1.91795E-08,0.021121743,9.71615E-09,2.42858E-07,7.9954E-05,3.29252E-08,8.88588E-08,6.07229E-06
BUIS,BUIS 1,BUIS 1-9,1.06664E-06,0.000166471,0.003754975,3.07835E-05,0.000157815,1,1.01566E-07,2.2663E-08,8.09425E-06,4.09874E-07,1.39088E-06,1.17907E-06,2.25185E-06,1.34171E-08,0.021243713,1.54893E-08,2.93605E-07,9.58408E-05,9.95329E-09,7.59864E-08,5.06647E-06
BUIS,BUIS 1,BUIS 1-10,1.18606E-06,0.000190284,0.003428817,1.69765E-05,0.000117101,1,1.06858E-07,0,5.24064E-06,4.15654E-07,1.36412E-06,1.10271E-06,2.01769E-06,2.58295E-08,0.021411654,9.67798E-09,3.73249E-07,0.000106616,5.0459E-09,1.16565E-07,5.27353E-06
BUIS,BUIS 2,BUIS 2-1,1.14018E-06,0.000172748,0.00298883,1.02536E-05,8.24329E-05,1,1.01671E-07,2.99935E-08,3.975E-06,3.7191E-07,1.01095E-06,1.81379E-06,1.39777E-06,1.84868E-08,0.020734652,1.24859E-08,1.6208E-07,6.02378E-05,1.35786E-08,7.68707E-08,9.35131E-06
BUIS,BUIS 2,BUIS 2-2,1.1393E-06,0.000168814,0.003082507,2.2198E-05,0.000152735,1,8.82255E-08,6.97653E-08,1.2536E-05,3.57214E-07,1.15619E-06,9.6727E-07,9.80243E-06,2.41106E-08,0.020651154,1.4721E-08,2.58851E-07,0.000122358,7.53549E-09,8.33243E-08,1.15496E-05
BUIS,BUIS 2,BUIS 2-3,1.14425E-06,0.00017372,0.003474531,2.47467E-05,0.000156738,1,1.04504E-07,0,5.88007E-06,3.82695E-07,1.1726E-06,8.55996E-07,3.61811E-06,1.72761E-08,0.020746762,2.01942E-08,3.48981E-07,0.000123915,5.17303E-09,1.72027E-07,1.01557E-05
BUIS,BUIS 2,BUIS 2-4,1.17904E-06,0.000177026,0.006277986,2.55344E-05,0.000176409,1,1.38793E-07,1.91551E-08,1.08019E-05,3.41957E-07,1.13523E-06,9.53784E-07,3.22417E-06,1.66355E-08,0.020596045,1.44052E-08,2.52566E-07,0.000129799,7.40458E-08,1.04094E-07,9.91289E-06
BUIS,BUIS 2,BUIS 2-5,1.231E-06,0.000169536,0.00296625,2.33204E-05,0.000188163,1,1.0418E-07,3.08743E-08,8.84636E-06,3.67296E-07,2.40026E-06,8.41216E-07,2.92007E-06,2.27312E-08,0.020896141,2.20989E-08,2.80731E-07,0.000138106,7.95755E-09,1.20761E-07,1.1971E-05
BUIS,BUIS 2,BUIS 2-6,1.10834E-06,0.000180655,0.003591885,2.24316E-05,0.000229536,1,8.60412E-08,6.37695E-09,1.17076E-05,4.08518E-07,1.53096E-06,1.26994E-06,3.91003E-06,1.94484E-08,0.021448254,6.43394E-09,4.90111E-07,0.000123595,3.73943E-08,1.30822E-07,6.1645E-06
BUIS,BUIS 2,BUIS 2-7,1.18693E-06,0.00017598,0.002727748,1.70834E-05,0.000118758,1,9.07908E-08,5.45715E-08,7.7383E-06,4.05551E-07,1.43253E-06,1.19566E-06,2.17285E-06,1.70235E-08,0.021398032,8.78014E-09,2.50299E-07,7.81052E-05,2.09971E-08,9.84456E-08,4.73259E-06
BUIS,BUIS 2,BUIS 2-8,1.1149E-06,0.000178207,0.005536854,1.02139E-05,7.87749E-05,1,8.58876E-08,0,5.34075E-06,4.41652E-07,3.12407E-06,2.86329E-06,9.06982E-07,3.0044E-08,0.02121114,1.17425E-08,2.11614E-07,4.24414E-05,1.35654E-08,1.78061E-07,5.48038E-06
BUIS,BUIS 2,BUIS 2-9,1.11845E-06,0.000177624,0.002363572,3.08004E-06,0.000144929,1,8.39511E-08,0,2.11888E-06,3.75558E-07,1.3039E-06,9.7201E-07,3.62132E-08,2.43806E-08,0.021610305,1.02312E-08,3.60899E-07,8.74354E-05,2.65541E-08,1.18367E-07,6.48657E-06
BUIS,BUIS 2,BUIS 2-10,1.19246E-06,0.000188356,0.002559214,4.74213E-06,9.99062E-05,1,1.13378E-07,0,3.54951E-06,3.88802E-07,1.32305E-06,9.1567E-07,2.69912E-06,2.5147E-08,0.02163551,1.51704E-08,2.34494E-07,6.29701E-05,1.09895E-08,9.09949E-08,5.53482E-06
BUIS,BUIS 4,BUIS 4-1,8.47017E-07,0.000147527,0.002189949,9.33436E-06,8.09125E-05,1,1.00711E-07,5.56706E-07,3.36496E-05,3.11648E-07,8.97111E-07,8.54796E-07,9.24294E-06,1.31468E-08,0.018365175,1.52176E-08,1.45274E-07,4.96242E-05,1.27263E-08,6.1299E-08,4.14197E-06
BUIS,BUIS 4,BUIS 4-2,1.15062E-06,0.000169821,0.00330518,1.54537E-05,7.21961E-05,1,8.57287E-08,3.1222E-08,1.03601E-05,3.42347E-07,1.9198E-06,9.36166E-07,1.19431E-06,1.53718E-08,0.020464125,1.4725E-08,1.47268E-07,5.28591E-05,2.67102E-09,6.71816E-08,1.1473E-05
BUIS,BUIS 4,BUIS 4-3,1.06561E-06,0.000166962,0.003476597,2.09521E-05,0.000133751,1,1.06217E-07,0,6.19757E-06,3.59375E-07,1.28224E-06,1.22144E-06,2.38015E-06,2.10332E-08,0.020070563,1.88008E-08,2.40902E-07,0.000119008,1.16601E-08,7.35601E-08,8.85036E-06
BUIS,BUIS 4,BUIS 4-4,1.12843E-06,0.000162802,0.003873427,3.14802E-05,0.000260338,1,1.26069E-07,1.32727E-07,1.98206E-05,4.44336E-07,1.68757E-06,1.36001E-06,5.61816E-06,2.29253E-08,0.021281368,1.70465E-08,3.13467E-07,0.000255233,5.11208E-08,1.33649E-07,6.54683E-06
BUIS,BUIS 6,BUIS 6-1,9.00826E-07,0.000150646,0.002488355,1.65157E-05,0.000109037,1,1.06803E-07,7.47615E-07,3.60842E-05,3.22468E-07,1.04637E-06,8.55237E-07,5.30912E-06,1.68215E-08,0.019151076,1.38748E-08,2.3794E-07,3.95277E-05,2.55098E-08,6.52727E-08,4.79932E-06
BUIS,BUIS 6,BUIS 6-2,9.741E-07,0.00014464,0.002154081,5.16566E-06,0.000105616,1,9.03584E-08,0,1.31163E-06,3.01559E-07,9.31827E-07,1.01052E-06,2.49202E-06,1.61628E-08,0.019010717,1.54847E-08,2.57192E-07,0.000101325,9.19781E-09,8.76672E-08,4.5078E-06
BUIS,BUIS 6,BUIS 6-3,8.80986E-07,0.000151274,0.002567514,1.15474E-05,0.000116625,1,7.77818E-08,0,3.79575E-06,3.20556E-07,9.98037E-07,8.27542E-07,1.8021E-06,1.08846E-08,0.018662632,1.18877E-08,2.54852E-07,7.87792E-05,2.38219E-08,6.88646E-08,3.76395E-06
BUIS,BUIS 6,BUIS 6-4,8.93389E-07,0.00014508,0.004151446,1.80219E-05,0.000114152,1,7.81304E-08,3.76988E-09,1.67728E-05,3.11689E-07,9.4346E-07,8.38924E-07,2.01536E-06,1.71237E-08,0.018424487,1.54155E-08,2.43436E-07,6.31718E-05,4.09754E-08,1.1201E-07,4.00848E-06
BUIS,BUIS 6,BUIS 6-5,8.45872E-07,0.00014475,0.002467502,1.35655E-05,0.000109011,1,7.69799E-08,0,3.76348E-06,3.14384E-07,1.00236E-06,6.97812E-07,2.62008E-06,1.54005E-08,0.018578141,1.79567E-08,2.59888E-07,9.76821E-05,2.07699E-08,6.56731E-08,4.5608E-06
BUIS,BUIS 6,BUIS 6-6,1.04991E-06,0.000160961,0.002736202,1.76773E-05,0.000145571,1,1.17021E-07,0,6.4095E-06,3.81449E-07,1.20121E-06,1.21334E-06,2.46881E-06,1.83143E-08,0.020724603,1.66407E-08,3.53662E-07,6.5935E-05,1.27092E-08,8.30768E-08,1.07201E-05
BUIS,BUIS 6,BUIS 6-7,1.07602E-06,0.000170426,0.002589795,1.22009E-05,8.61155E-05,1,1.07445E-07,2.72976E-07,1.28992E-05,3.72731E-07,1.02263E-06,9.07234E-07,2.288E-06,2.24478E-08,0.020566394,1.59906E-08,1.44809E-07,6.51292E-05,2.42647E-08,1.11667E-07,9.52328E-06
BUIS,BUIS 6,BUIS 6-8,1.05941E-06,0.000166054,0.002195328,1.29887E-06,5.87431E-05,1,1.23582E-07,1.57829E-07,9.52152E-06,3.86196E-07,1.0493E-06,8.44113E-07,0,2.29035E-08,0.020565985,1.04165E-08,9.65341E-08,4.99818E-05,7.50864E-09,7.83338E-08,1.03489E-05
BUIS,BUIS 6,BUIS 6-9,1.13137E-06,0.000168933,0.002617389,2.06113E-05,0.000120316,1,1.08423E-07,3.42536E-07,1.80533E-05,3.94479E-07,1.22791E-06,9.93653E-07,2.51988E-06,1.63172E-08,0.02054823,1.10125E-08,3.31909E-07,6.20453E-05,1.69586E-08,6.43567E-08,9.88169E-06
BUIS,BUIS 6,BUIS 6-10,1.20143E-06,0.000175445,0.003100116,5.35312E-06,7.33589E-05,1,1.09168E-07,0,2.47474E-06,3.62877E-07,1.00208E-06,9.34574E-07,2.93045E-07,1.00578E-08,0.020196238,1.49303E-08,2.04802E-07,5.99318E-05,5.08186E-08,7.60332E-08,8.02897E-06
