Group,Site,Colony ID,Li,B,Mg,Al,P,Ca,Fe,Co,Ni,Cu,Zn,Rb,Sr,Ag,Cd,Ba,Nd,Pb,U
BUIS,BUIS 2,BUIS 2-1,433.7705976,65720.5122,1137072.342,3900.874673,31360.81159,380440663.3,1512.252964,141.4896816,384.6081683,690.0399341,531.7668235,7.03313111,7888304.903,4.750141938,61.66182205,22916.90035,5.165858095,29.2447296,3557.620027
BUIS,BUIS 2,BUIS 2-2,434.8224635,64428.90942,1176457.168,8471.982112,58292.22287,381655966.8,4784.456168,136.3327485,441.2666266,369.1643797,3741.154046,9.201972234,7881635.974,5.618361122,98.79187188,46698.82749,2.875963562,31.80121715,4407.983512
BUIS,BUIS 2,BUIS 2-3,431.4969639,65510.25318,1310251.369,9332.02798,59106.22084,377101639.7,2217.38258,144.3149142,442.1895656,322.7975589,1364.393434,6.514838921,7823638.126,7.615273397,131.6014449,46728.69606,1.950758606,64.87147658,3829.732399
BUIS,BUIS 2,BUIS 2-4,445.8348467,66939.16621,2373910.65,9655.383074,66705.85947,378132539.3,4084.546096,129.3050723,429.265575,360.6567574,1219.162854,6.290415679,7788034.662,5.447065735,95.50329626,49081.11921,27.99913732,39.36115092,3748.38558
BUIS,BUIS 2,BUIS 2-5,480.7747116,66213.53596,1158487.372,9107.909641,73488.04663,390556237.4,3455.00281,143.4497843,937.4373737,328.5419776,1140.452869,8.877805674,8161118.074,8.630876163,109.6413281,53938.04234,3.107871795,47.16402276,4675.367418
BUIS,BUIS 2,BUIS 2-6,398.3574748,64930.76636,1290992.572,8062.337558,82499.72524,359419277.9,4207.94157,146.829388,550.256537,456.4392708,1405.340303,6.990116383,7708916.048,2.312482913,176.1552587,44422.47217,13.44021557,47.02002168,2215.639046
BUIS,BUIS 2,BUIS 2-7,432.3584388,64103.50099,993627.0412,6222.913186,43259.63543,364266395.9,2818.803987,147.7284774,521.8217894,435.5400256,791.497827,6.201099052,7794583.851,3.198308367,91.17539341,28451.10146,7.648541765,35.8604128,1723.924336
BUIS,BUIS 2,BUIS 2-8,396.2829486,63342.6127,1968036.758,3630.477634,27999.98744,355443133.3,1898.332964,156.9820607,1110.430642,1017.737572,322.3806764,10.67893557,7539354.081,4.173780386,75.21662008,15085.49029,4.821724435,63.29059125,1947.963935
BUIS,BUIS 2,BUIS 2-9,395.4745761,62806.04389,835736.2832,1089.071552,51245.62621,353590341.2,749.2150071,132.793845,461.0465154,343.6932296,12.80463894,8.620727033,7641195.113,3.61764076,127.6105586,30916.31986,9.389287748,41.85330154,2293.587013
BUIS,BUIS 2,BUIS 2-10,420.7508481,66460.15285,903000.6227,1673.22727,35251.19354,352842974.1,1252.421216,137.1859638,466.8300202,323.0875599,952.3640379,8.872925663,7633937.544,5.35277772,82.73962431,22218.54774,3.877569743,32.10689449,1952.923122
BUIS,BUIS 4,BUIS 4-1,377.9757176,65832.9367,977250.507,4165.398032,36106.67168,446243443.9,15015.89361,139.0708394,400.3299695,381.4472273,4124.600717,5.866687703,8195339.087,6.790756048,64.82737669,22144.47204,5.679044567,27.35429777,1848.32772
BUIS,BUIS 4,BUIS 4-2,436.2412455,64385.34521,1253116.354,5859.061712,27372.22555,379137138,3927.896767,129.7965081,727.8659937,354.9353837,452.8088978,5.82802301,7758709.916,5.582793149,55.83472123,20040.83699,1.012681836,25.47104105,4349.848435
BUIS,BUIS 4,BUIS 4-3,406.5320447,63696.2877,1326324.579,7993.232367,51026.29541,381500784.9,2364.378195,137.1017052,489.17376,465.9813243,908.0305085,8.024199763,7656935.505,7.172534408,91.90420079,45401.72878,4.448336125,28.06322091,3376.418244
BUIS,BUIS 4,BUIS 4-4,397.3272503,57323.42715,1363856.506,11084.36443,91666.50805,352105871.7,6978.948325,156.4532049,594.2039591,478.8682452,1978.188101,8.07214729,7493294.625,6.002158444,110.3736203,89869.19103,17.99993073,47.05874011,2305.176281
BUIS,BUIS 6,BUIS 6-1,386.1709638,64579.74361,1066721.87,7080.047279,46742.51555,428685534.3,15468.7788,138.2373904,448.5643531,366.6275227,2275.942711,7.211145939,8209789.057,5.947917674,102.0016295,16944.95753,10.93569703,27.9814627,2057.398672
BUIS,BUIS 6,BUIS 6-2,423.0262574,62813.29496,935461.1907,2243.309964,45866.19102,434273960.4,569.6079935,130.95906,404.668011,438.8429182,1082.220661,7.019068969,8255859.521,6.724603814,111.691932,44002.60866,3.994369917,38.07156484,1957.61975
BUIS,BUIS 6,BUIS 6-3,380.9581534,65414.36421,1110250.883,4993.342917,50431.32551,432422545.4,1641.367585,138.6157794,431.5738379,357.8478299,779.27041,4.706736272,8070142.768,5.140519382,110.2036404,34065.91839,10.30110635,29.77860809,1627.616831
BUIS,BUIS 6,BUIS 6-4,392.773996,63783.50527,1825162.17,7923.248806,50186.32349,439644897.2,7374.085868,137.0326105,414.7874465,368.8284545,886.0442842,7.528344748,8100231.546,6.777349165,107.0252594,27773.17494,18.01463147,49.24481606,1762.306485
BUIS,BUIS 6,BUIS 6-5,375.8661545,64320.39002,1096443.654,6027.86364,48439.61781,444353724.5,1672.316439,139.6978498,445.4027065,310.0751985,1164.244484,6.843289461,8255266.363,7.979121599,115.4823957,43405.39421,9.229181837,29.18207323,2026.607757
BUIS,BUIS 6,BUIS 6-6,396.4419377,60778.50575,1033183.956,6674.901871,54967.27681,377597786.3,2420.213526,144.0342059,453.575183,458.1559626,932.2164341,6.915453326,7825564.169,6.283484753,133.5420201,24896.89298,4.798972915,31.369606,4047.878796
BUIS,BUIS 6,BUIS 6-7,406.3860216,64365.50349,978097.061,4607.941379,32523.53721,377673570.6,4871.704569,140.7704819,386.2221665,342.6382516,864.1177143,8.47795369,7767383.526,6.039239573,54.69038936,24597.56233,9.164150127,42.1735629,3596.69001
BUIS,BUIS 6,BUIS 6-8,409.2565927,64147.78806,848069.0585,501.7605372,22692.82153,386306384.1,3678.223174,149.1901602,405.3506168,326.0861599,0,8.847779531,7944771.234,4.023964418,37.29175548,19308.29505,2.900636276,30.26085111,3997.859293
BUIS,BUIS 6,BUIS 6-9,431.4442107,64422.2217,998137.0594,7860.099406,45882.1805,381348311.2,6884.581126,150.4340042,468.2616172,378.9280802,960.9506506,6.222530531,7836032.909,4.199584948,126.5727816,23660.86863,6.467147067,24.54232768,3768.365346
BUIS,BUIS 6,BUIS 6-10,459.8407353,67150.77241,1186552.24,2048.877231,28077.73111,382744520.6,947.193463,138.8892291,383.5392484,357.703116,112.1615251,3.849563548,7729999.352,5.714477074,78.3866974,22938.57348,19.45055173,29.1013062,3073.043204
